surname,firstname,Institution,Language,social
van der Vijver,Ruber,Heinrich Heine University Dusseldorf,Maltese,
Van Ommen,Sandrien,University of Zurich,Vietnamese Dialects,
Vanek,Norbert,,Czech/Slovak,
Verdonschot,Rinus,Leiden University,Japanese,
Verma,Ark,"India Institute of Technology, Kanpur",,
Villwock,Agnes,"Humboldt University, Berlin",German Sign Language,@AgnesVillwock
Von Holzen,Katie,,,@KatieVonHolzen
Wagers,Matthew,UCSC,Chamorro,
Wagers,Matthew,UCSC,Tagalog,
Wagers,Matthew,UCSC,Zapotec,
Wang,Man,Leiden University,Chinese,
Weissler,Rachel Elizabeth,University of Oregon,African American English,@rachelawiselure
Wong,Patrick,Chinese University of Hong Kong,,
Wray,Samantha,Dartmouth,Tagalog,
Zhang,Miao,,Changsha Xiang,@Miao_Zhang_dr
Zhao,Haoran,Leiden University,Chinese,
,,Manipal Academy of Higher Education,,
